"","Var1","Freq"
"594","179500",1
"595","183000",1
"596","183500",1
"597","186000",1
"598","187000",1
"599","189000",1
"600","192000",1
"601","193000",1
"602","196000",1
"603","202000",1
"604","204000",1
"605","209000",1
"606","212000",1
"607","213000",1
"608","214000",1
"609","218000",1
"610","219000",1
"611","229000",1
"612","229900",1
"613","233000",1
"614","242000",1
"615","246000",1
"616","250030",1
"617","253000",1
"618","255000",1
"619","257000",1
"620","266000",1
"621","269000",1
"622","271000",1
"623","278000",1
"624","279000",1
"625","283000",1
"626","284000",1
"627","285000",1
"628","286000",1
"629","297080",1
"630","299880",1
"631","303000",1
"632","305000",1
"633","308000",1
"634","322200",1
"635","327000",1
"636","328000",1
"637","335000",1
"638","337000",1
"639","343000",1
"640","345000",1
"641","352000",1
"642","354000",1
"643","355000",1
"644","363000",1
"645","365000",1
"646","374000",1
"647","378000",1
"648","382000",1
"649","382500",1
"650","388500",1
"651","390000",1
"652","413500",1
"653","415000",1
"654","420000",1
"655","430000",1
"656","431720",1
"657","435000",1
"658","437000",1
"659","459000",1
"660","460560",1
"661","463000",1
"662","476000",1
"663","479000",1
"664","490000",1
"665","499920",1
"666","499960",1
"667","500400",1
"668","501000",1
"669","505000",1
"670","508000",1
"671","510070",1
"672","515000",1
"673","518000",1
"674","529000",1
"675","536000",1
"676","547000",1
"677","548000",1
"678","554000",1
"679","557000",1
"680","561000",1
"681","570450",1
"682","577000",1
"683","583000",1
"684","585000",1
"685","586000",1
"686","590000",1
"687","594000",1
"688","604000",1
"689","606000",1
"690","610000",1
"691","613000",1
"692","617000",1
"693","635000",1
"694","654000",1
"695","661000",1
"696","665000",1
"697","690000",1
"698","693400",1
"699","710000",1
"700","713000",1
"701","725000",1
"702","733400",1
"703","745000",1
"704","758000",1
"705","758250",1
"706","760000",1
"707","762000",1
"708","775000",1
"709","785000",1
"710","787000",1
"711","806770",1
"712","815000",1
"713","820000",1
"714","824000",1
"715","845000",1
"716","860000",1
"717","870000",1
"718","875000",1
"719","888000",1
"720","890000",1
"721","897000",1
"722","910000",1
"723","917000",1
"724","932000",1
"725","936000",1
"726","954000",1
"727","955000",1
"728","968000",1
"729","970000",1
"730","971000",1
"731","979000",1
"732","988000",1
"733","1140000",1
"734","1160000",1
"735","1180000",1
"736","1230000",1
"737","1240000",1
"738","1260000",1
"739","1290000",1
"740","1330000",1
"741","1340000",1
